"","gene","clone_id","AASA_fold_clone","AASA_fdr_clone","log2FoldChange","fdr"
"8208","ANKRD50","SB03005A1C05.f1",0.919506494,0.498134281,-0.121068331203372,0.302653569617077
"8209","RGCC","SB010011000F10",1.051892238,0.791886839,0.0729869140729574,0.101336874861435
"8210","KIAA1109","SB03003B1A12.f1",1.025517526,0.842490457,0.0363521475537269,0.0744350097393694
"8211","TRPC3","SB03024B2G12.f1",1.295764881,0.02984874,0.373803962213159,1.52507399694991
"8212","EXOSC9","SB03026A1F04.f1",0.876409104,0.183013787,-0.190323623992096,0.737516192277858
"8213","EXOSC9","SB03030B1F11.f1",0.883922452,0.207243634,-0.178008289775763,0.683518801000289
"8214","VWA8","SB02042A1A04.f1",1.411116233,0.030934449,0.496836826961594,1.50955761516655
"8215","PRDM5","SB03021B1E02.f1",1.027687055,0.858170377,0.039401010704745,0.0664264808630985
"8216","PDE5A","SB03024A1E10.f1",0.820868705,0.566306713,-0.284776608320338,0.246948290215997
"8217","PDE5A","SB03034B1B07.f1",0.680936055,0.38777587,-0.554408770168202,0.4114192191147
"8218","SEC24D","SB03005B1D01.f1",1.011772469,0.935766739,0.0168848881028958,0.0288323954822422
"8219","PRSS12","SB02019A1D11.f1",0.989522203,0.952900717,-0.0151960159130896,0.0209523462716529
"8220","METTL14","SB03004B2F10.f1",1.009694853,0.920696186,0.0139193518086922,0.0358836559172505
"8221","LOC100229648","SB02014A2C04.f2",1.181917674,0.061870553,0.241129548672531,1.20851600223157
"8222","NDST4","SB03016B1C07.f1",1.024276555,0.846146261,0.0346052960597969,0.0725545603002411
"8223","CAMK2D","SB010002000C11",1.005368224,0.973162329,0.007723996570746,0.0118147109044708
"8224","CAMK2D","SB03036B1C09.f1",1.075024932,0.585661402,0.104370119215346,0.23235339719584
"8225","AKAP11","SB02005A2G10.f1",1.195941795,0.029224755,0.258147177070943,1.53424912097345
"8226","CAMK2D","SB03031B2G06.f1",1.018080374,0.916297354,0.025851461800604,0.0379635675492058
"8227","ANK2","SB02015A2H07.f1",1.001534021,0.988734692,0.00221142873359365,0.0049202273692543
"8228","TNFSF11","SB03001A2D05.f1",1.020279736,0.898102443,0.0289647584809152,0.0466741222501909
"8229","LARP7","SB03020B1B12.f1",1.191071687,0.097421472,0.252260247263312,1.01134531269642
"8230","WRN","SB02037A1B03.f1",1.099730856,0.351152952,0.137150487181881,0.454503676295333
"8231","PURG","SB03028B2C10.f1",1.113495056,0.356743942,0.155095152467762,0.44764339306492
"8232","PPP2CB","SB02018B2B11.f1",1.08809681,0.32046446,0.12180692156389,0.494220127398606
"8233","ENOX1","SB03038A1A06.f1",0.800188697,0.12870992,-0.321587844730737,0.89038797962837
"8234","MRPL1","SB02027A2B04.f1",0.816086309,0.13051611,-0.293206355703355,0.884335878729631
"8235","MRPL1","SB03043A2D05.f1",0.946358482,0.368543983,-0.0795413127635353,0.43351067487593
"8236","ENOX1","SB03051A1D08.f1",1.079591025,0.601129585,0.110484888362555,0.221031897408083
"8237","SEPTIN11","SB010012000A02",0.835217762,0.113885431,-0.259775701853082,0.943531830275607
"8238","SEPTIN11","SB02034A1E11.f1",1.128268559,0.186789799,0.174110509777567,0.728646845231087
"8239","SEPTIN11","SB02018A2H02.f1",1.030744335,0.832557676,0.0436865321550433,0.0795856707334782
"8240","CCNI","SB02018A2H02.f1",1.030744335,0.832557676,0.0436865321550433,0.0795856707334782
"8241","NUP54","SB03027B2E03.f1",1.061725246,0.385322143,0.0864104728111872,0.414176033015566
"8242","NUP54","SB03030A1F04.f1",1.087082359,0.148087484,0.12046124525925,0.829481645458753
"8243","RUFY3","SB02008B2B12.f1",0.984972865,0.921556414,-0.0218441145510051,0.0354780738589259
"8244","RUFY3","SB02030A2F03.f1",1.06400887,0.285051793,0.0895101777673671,0.545076222902063
"8245","RUFY3","SB02041B1B06.f1",1.067932841,0.237934715,0.0948209232401276,0.623542189181555
"8246","RUFY3","SB02038B2C05.f1",1.097851452,0.326279549,0.134682859478663,0.486410146668132
"8247","MOB1B","SB02025A2C12.f1",0.791337285,0.254587873,-0.337635361399716,0.594162287306937
"8248","MOB1B","SB02030B2A04.f1",1.049879064,0.524395761,0.070223152828606,0.280340827626022
"8249","SLC4A4","SB02031B1G09.f1",1.32532708,0.006024975,0.406348449080749,2.22004475080862
"8250","ADAMTS3","SB03020A1E02.f1",1.167597931,0.359502663,0.223543559479125,0.444297888252109
"8251","ANKRD17","SB02003B1C06.f1",0.971983206,0.768100806,-0.040996707835964,0.114581779165631
"8252","ANKRD17","SB02042A2D11.f1",1.000308506,0.9981992,0.000445011435464664,0.00078278253213321
"8253","USO1","SB03049B2C11.f1",0.982471553,0.866047681,-0.0255124594652015,0.0624581968681685
"8254","G3BP2","SB010012000G10",1.384039338,0.000226642,0.468884948705115,3.64465960604352
"8255","G3BP2","SB010020000E02",1.415074156,0.000790126,0.500877658491913,3.10230364701165
"8256","LOC100224318","SB03042B1A02.f1",1.066888857,0.593439216,0.0934098914326073,0.226623757766979
"8257","PRDM8","SB03051B2E01.f1",0.961852168,0.534475498,-0.0561129190648362,0.272072199393092
"8258","BMP2K","SB02012A1D09.f1",1.183100078,0.09813087,0.242572115881859,1.00819435080863
"8259","PCDH10","SB02031B1E06.f1",1.03410048,0.73291669,0.0483763741970933,0.134945388427828
"8260","PCDH10","SB03011B2B05.f1",1.038530443,0.752345769,0.0545435072960885,0.123582517046273
"8261","ST6GAL2","SB03002A1E12.f1",1.21831385,0.05863089,0.284885833992971,1.23187351330019
"8262","TSC22D1","SB02048A1G01.f1",1.017026688,0.8984312,0.0243575377402204,0.0465151746533706
"8263","GTF2F2","SB02027A2G05.f1",0.761927084,0.018899982,-0.392275155679289,1.72353860944075
"8264","GTF2F2","SB03043A2B06.f1",0.782314193,0.011545989,-0.35417995583721,1.93756886059467
